date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:19:02	46354/46354	---M-Z	200	added ('OK')	application/x-javascript	etag:%22b512-644fb3cd-256fa5530b7065cd;gz%22	https://pepesui.ceo/assets/js/jquery.magnific-popup.js	C:/My%20Web%20Sites/pepesui/pepesui.ceo/assets/js/jquery.magnific-popup.js	(from https://pepesui.ceo/)
07:19:02	8097/8097	---M-Z	200	added ('OK')	application/x-javascript	etag:%221fa1-644fb3cd-dc23ab8e8cc4c959;gz%22	https://pepesui.ceo/assets/js/jquery.easing.1.3.js	C:/My%20Web%20Sites/pepesui/pepesui.ceo/assets/js/jquery.easing.1.3.js	(from https://pepesui.ceo/)
07:19:02	96208/96208	---M-Z	200	added ('OK')	application/x-javascript	etag:%22177d0-644fb3cd-f3598bcb7ca4707;gz%22	https://pepesui.ceo/assets/js/swiper.min.js	C:/My%20Web%20Sites/pepesui/pepesui.ceo/assets/js/swiper.min.js	(from https://pepesui.ceo/)
07:19:03	4711/4711	---M-Z	200	added ('OK')	application/x-javascript	etag:%221267-644fb3cd-6fa3d846eaad2d77;gz%22	https://pepesui.ceo/assets/js/jquery.collapse.js	C:/My%20Web%20Sites/pepesui/pepesui.ceo/assets/js/jquery.collapse.js	(from https://pepesui.ceo/)
07:19:04	27123/27123	---M-Z	200	added ('OK')	application/x-javascript	etag:%2269f3-644fb3cd-48a0128abc25b484;gz%22	https://pepesui.ceo/assets/js/bootsnav.js?v=1.0.2	C:/My%20Web%20Sites/pepesui/pepesui.ceo/assets/js/bootsnav0ff5.js	(from https://pepesui.ceo/)
07:19:04	67760/67760	---M-Z	200	added ('OK')	application/x-javascript	etag:%22108b0-644fb3cd-6e188a9d217d0df0;gz%22	https://pepesui.ceo/assets/js/plugins.js	C:/My%20Web%20Sites/pepesui/pepesui.ceo/assets/js/plugins.js	(from https://pepesui.ceo/)
07:19:05	2670/2670	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a6e-644fb3cd-91d1079cd17f7117;gz%22	https://pepesui.ceo/assets/js/main.js	C:/My%20Web%20Sites/pepesui/pepesui.ceo/assets/js/main.js	(from https://pepesui.ceo/)
07:19:05	1674/1674	---M-Z	200	added ('OK')	application/x-javascript	etag:%2268a-644fb3cd-b76dc3e671dc1ccb;gz%22	https://pepesui.ceo/assets/js/countdown.js?v=1.0.2	C:/My%20Web%20Sites/pepesui/pepesui.ceo/assets/js/countdown0ff5.js	(from https://pepesui.ceo/)
07:19:06	76666/76666	---M-Z	200	added ('OK')	application/javascript	etag:%225eb0402c-12b7a%22	https://cdnjs.cloudflare.com/ajax/libs/vue/2.2.6/vue.min.js	C:/My%20Web%20Sites/pepesui/cdnjs.cloudflare.com/ajax/libs/vue/2.2.6/vue.min.js	(from https://pepesui.ceo/)
07:19:06	49/49	---MCZ	302	error ('Found')	text/plain	date:Tue,%2002%20May%202023%2006:19:06%20GMT	https://unpkg.com/chart.piecelabel.js	C:/My%20Web%20Sites/pepesui/unpkg.com/chart.piecelabel.38.delayed	(from https://pepesui.ceo/)
07:19:08	421288/421288	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2266da8-644fb3cd-5e50c2198a2ef33c;gz%22	https://pepesui.ceo/assets/fonts/bootstrapThemesCo-icon.eot?dcpptv	C:/My%20Web%20Sites/pepesui/pepesui.ceo/assets/fonts/bootstrapThemesCo-icon9872.eot	(from https://pepesui.ceo/assets/css/iconfont.css)
07:19:09	421064/421064	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2266cc8-644fb3cd-aad724b84c6e7a7e;gz%22	https://pepesui.ceo/assets/fonts/bootstrapThemesCo-icon.ttf?dcpptv	C:/My%20Web%20Sites/pepesui/pepesui.ceo/assets/fonts/bootstrapThemesCo-icon9872.ttf	(from https://pepesui.ceo/assets/css/iconfont.css)
